"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.52959228220553e-08,1.0403226353465,0.077,0.102,0.00032015896058844,"1","Ldah"
1.47410410075223e-13,1.0395929783652,0.075,0.106,3.08544729328448e-09,"1","Thap3"
2.48474118584026e-12,1.03494395807191,0.088,0.123,5.20081177608224e-08,"1","Zkscan2"
1.70689200530123e-10,1.03486926451058,0.088,0.12,3.57269565629601e-06,"1","Trp53bp1"
2.01361417105503e-21,1.03368209993758,0.102,0.152,4.21469582143528e-17,"1","Otx2os1"
8.83696859366452e-10,1.03213838780316,0.109,0.145,1.84966589633992e-05,"1","Mafg"
1.22482211491159e-11,1.03185002010351,0.095,0.131,2.56367516872145e-07,"1","Uvrag"
7.54849176301875e-14,1.03145512148002,0.093,0.13,1.57997481091746e-09,"1","Pspc1"
1.04348219661185e-11,1.03108721230126,0.081,0.113,2.18411258572826e-07,"1","Zfp507"
8.32705444218652e-21,1.02956293503519,0.066,0.103,1.74293576529406e-16,"1","Atg9a"
3.50946198074377e-10,1.02596533744844,0.098,0.133,7.34565487189478e-06,"1","Pik3c2a"
1.04829447172907e-254,1.02374489608344,0.645,0.638,2.19418515877612e-250,"1","Ank2"
9.46427670520600e-11,1.02042946895659,0.094,0.127,1.98096775716667e-06,"1","Ttc4"
3.12551940102811e-10,1.01802813955061,0.109,0.147,6.54202465829194e-06,"1","Zbtb37"
3.47615580212668e-12,1.01603992548352,0.082,0.114,7.27594170943136e-08,"1","Cbl"
1.11484642540915e-14,1.01509188124427,0.111,0.157,2.33348505302389e-10,"1","Ube3c"
5.13590335364763e-10,1.01330312875361,0.146,0.197,1.07499593095198e-05,"1","Msh3"
3.69611337480461e-79,1.01241995318742,0.485,0.509,7.73633490480352e-75,"1","Ahi1"
6.1498680301901e-12,1.01195175112882,0.085,0.117,1.28722887739909e-07,"1","Rprd1a"
1.02925754306577e-13,1.01120873734205,0.086,0.121,2.15433896339097e-09,"1","Scamp2"
2.12080715799614e-13,1.00994291117178,0.134,0.185,4.43906146240171e-09,"1","Raf1"
2.80510971863047e-16,1.00736360542667,0.354,0.396,5.87137515206545e-12,"1","Luc7l2"
1.67921133730816e-06,1.00635780979532,0.164,0.213,0.0351475725011971,"1","Dhx30"
1.12995842776868e-14,1.00613742038858,0.122,0.171,2.36511598516263e-10,"1","Cep126"
7.41228870170927e-13,1.00581736151887,0.096,0.133,1.55146614815477e-08,"1","Htt"
5.33257914220429e-13,1.00563641448761,0.102,0.14,1.11616214025478e-08,"1","Usp48"
2.06551583249452e-17,1.00537184627539,0.068,0.102,4.32333118899428e-13,"1","Cog5"
3.68354808311813e-07,1.0047886900256,0.122,0.157,0.00771003449277455,"1","Trim26"
6.674679345774e-11,1.00462999674837,0.12,0.162,1.39707713386396e-06,"1","Atg16l1"
6.18776683038739e-15,1.00368534666161,0.083,0.119,1.29516147526838e-10,"1","Exoc4"
1.70805580441509e-10,1.00188000436867,0.099,0.134,3.57513160422123e-06,"1","Yod1"
9.92652873688501e-15,1.00099981681102,0.071,0.103,2.0777217299174e-10,"1","Usp53"
1.31058799592227e-12,1.00045829126132,0.092,0.129,2.74319173426489e-08,"1","Rbm48"
7.87934879979418e-14,0.999807676065904,0.076,0.108,1.64922649728492e-09,"1","Slc25a36"
9.10299936634377e-18,0.999741499026513,0.066,0.1,1.90534879736941e-13,"1","Bend7"
7.08194044459244e-23,0.997651205833573,0.063,0.1,1.48232095445764e-18,"1","Anks3"
8.25598231458209e-14,0.995531043525644,0.099,0.14,1.72805965826518e-09,"1","Jrkl"
2.36261632588972e-13,0.995107732189934,0.113,0.157,4.94519223171977e-09,"1","Plekhm3"
6.73305877900236e-13,0.994027206172529,0.079,0.111,1.40929653303298e-08,"1","Tmem80"
9.36533471878114e-17,0.993155482439657,0.08,0.118,1.96025820998808e-12,"1","Zfp407"
1.92699454257201e-13,0.992343477124729,0.087,0.123,4.03339227705748e-09,"1","Lrrc49"
3.67109822758953e-15,0.992026174474205,0.086,0.124,7.68397570016764e-11,"1","Ttf1"
5.92458628671627e-15,0.991696168033087,0.077,0.111,1.24007515567258e-10,"1","Tubgcp5"
